ABCI,POINT,A_RYB,A_BYT,A_OYP,B_POT,B_MYB,B_BOG,C_RB,C_OP,C_PG
-0.92,0.73,#ED5B00,#E88300,#FF7701,#FB851A,#FFB632,#F09D00,#F12F02,#FF9E00,#E455F0
-0.91,0.7275,#ED5D00,#E88300,#FF7801,#FD880E,#FFBF30,#F8A200,#F12F02,#FF9F00,#E556F0
-0.9,0.725,#EE5E00,#E98400,#FF7801,#FF8C01,#FFC72E,#FFA700,#F13002,#FF9F00,#E557F0
-0.89,0.7225,#EE6000,#EA8400,#FF7901,#FF8D01,#FFC82E,#FFA800,#F23002,#FFA000,#E557F1
-0.88,0.72,#EF6100,#EA8500,#FF7901,#FF8E01,#FFC82E,#FFA900,#F23102,#FFA000,#E658F1
-0.87,0.7175,#EF6300,#EB8500,#FF7A01,#FF9001,#FFC92E,#FFAA00,#F23102,#FFA000,#E659F1
-0.86,0.715,#F06400,#EB8600,#FF7A01,#FF9101,#FFCA2E,#FFAB00,#F23102,#FFA100,#E75AF2
-0.85,0.7125,#F06600,#EC8600,#FF7B01,#FF9201,#FFCB2E,#FFAC00,#F33202,#FFA100,#E75AF2
-0.84,0.71,#F06800,#EC8700,#FF7B01,#FF9301,#FFCB2E,#FFAD00,#F33202,#FFA200,#E75BF3
-0.83,0.7075,#F16900,#ED8800,#FF7C01,#FF9401,#FFCC2E,#FFAE00,#F33302,#FFA200,#E85CF3
-0.82,0.705,#F16B00,#ED8800,#FF7C01,#FF9501,#FFCD2E,#FFAF00,#F33302,#FFA300,#E85DF3
-0.81,0.7025,#F26C00,#EE8900,#FF7D01,#FF9701,#FFCD2E,#FFB000,#F43402,#FFA300,#E95EF4
-0.8,0.7,#F26E00,#EF8900,#FF7D01,#FF9801,#FFCE2E,#FFB100,#F43402,#FFA400,#E95EF4
-0.79,0.6975,#F36F00,#EF8A00,#FF7E01,#FF9901,#FFCF2E,#FFB200,#F43402,#FFA400,#E95FF4
-0.78,0.695,#F37100,#F08A00,#FF7E01,#FF9A01,#FFCF2E,#FFB300,#F53502,#FFA400,#EA60F5
-0.77,0.6925,#F37300,#F08B00,#FF7F01,#FF9B01,#FFD02E,#FFB400,#F53502,#FFA500,#EA61F5
-0.76,0.69,#F47400,#F18B00,#FF7F01,#FF9C01,#FFD12E,#FFB500,#F53602,#FFA500,#EB62F5
-0.75,0.6875,#F47600,#F18C00,#FF8001,#FF9E01,#FFD22E,#FFB600,#F53603,#FFA600,#EB62F6
-0.74,0.685,#F57700,#F28C00,#FF8001,#FF9F01,#FFD22E,#FFB700,#F63703,#FFA600,#EB63F6
-0.73,0.6825,#F57900,#F28D00,#FF8101,#FFA001,#FFD32E,#FFB800,#F63703,#FFA700,#EC64F7
-0.72,0.68,#F67A00,#F38D00,#FF8101,#FFA101,#FFD42E,#FFB900,#F63703,#FFA700,#EC65F7
-0.71,0.6775,#F67C00,#F38E00,#FF8201,#FFA201,#FFD42E,#FFBA00,#F63803,#FFA800,#ED65F7
-0.7,0.675,#F67E00,#F48E00,#FF8201,#FFA401,#FFD52E,#FFBB00,#F73803,#FFA800,#ED66F8
-0.69,0.6725,#F77F00,#F58F00,#FF8301,#FFA501,#FFD62E,#FFBB00,#F73903,#FFA900,#ED67F8
-0.68,0.67,#F78100,#F58F00,#FF8301,#FFA601,#FFD62E,#FFBC00,#F73903,#FFA900,#EE68F8
-0.67,0.6675,#F88200,#F69000,#FF8401,#FFA701,#FFD72E,#FFBD00,#F73A03,#FFA900,#EE69F9
-0.66,0.665,#F88400,#F69100,#FF8401,#FFA801,#FFD82E,#FFBE00,#F83A03,#FFAA00,#EF69F9
-0.65,0.6625,#F98500,#F79100,#FF8501,#FFA901,#FFD92E,#FFBF00,#F83B03,#FFAA00,#EF6AFA
-0.64,0.66,#F98700,#F79200,#FF8501,#FFAB01,#FFD92E,#FFC000,#F83B03,#FFAB00,#EF6BFA
-0.63,0.6575,#F98900,#F89200,#FF8601,#FFAC01,#FFDA2E,#FFC100,#F93B03,#FFAB00,#F06CFA
-0.62,0.655,#FA8A00,#F89300,#FF8601,#FFAD01,#FFDB2E,#FFC200,#F93C03,#FFAC00,#F06DFB
-0.61,0.6525,#FA8C00,#F99300,#FF8701,#FFAE01,#FFDB2E,#FFC300,#F93C03,#FFAC00,#F16DFB
-0.6,0.65,#FB8D00,#FA9400,#FF8701,#FFAF01,#FFDC2E,#FFC400,#F93D03,#FFAD00,#F16EFB
-0.59,0.6475,#FB8F00,#FA9400,#FF8801,#FFB001,#FFDD2E,#FFC500,#FA3D03,#FFAD00,#F16FFC
-0.58,0.645,#FC9000,#FB9500,#FF8801,#FFB201,#FFDD2E,#FFC600,#FA3E03,#FFAD00,#F270FC
-0.57,0.6425,#FC9200,#FB9500,#FF8901,#FFB301,#FFDE2E,#FFC700,#FA3E03,#FFAE00,#F270FC
-0.56,0.64,#FC9400,#FC9600,#FF8901,#FFB401,#FFDF2E,#FFC800,#FA3E03,#FFAE00,#F371FD
-0.55,0.6375,#FD9500,#FC9600,#FF8A01,#FFB501,#FFE02E,#FFC900,#FB3F03,#FFAF00,#F372FD
-0.54,0.635,#FD9700,#FD9700,#FF8A01,#FFB601,#FFE02E,#FFCA00,#FB3F03,#FFAF00,#F373FE
-0.53,0.6325,#FE9800,#FD9700,#FF8B01,#FFB701,#FFE12E,#FFCB00,#FB4003,#FFB000,#F474FE
-0.52,0.63,#FE9A00,#FE9800,#FF8B01,#FFB901,#FFE22E,#FFCC00,#FB4003,#FFB000,#F474FE
-0.51,0.6275,#FF9B00,#FE9800,#FF8C01,#FFBA01,#FFE22E,#FFCD00,#FC4103,#FFB100,#F575FF
-0.5,0.625,#FF9D00,#FF9900,#FF8C01,#FFBB01,#FFE32E,#FFCE00,#FC4103,#FFB100,#F576FF
-0.49,0.6225,#FEA002,#FF9F00,#FF9205,#FEBC07,#FEE333,#FECF06,#FB4609,#FEB206,#F479FE
-0.48,0.62,#FDA304,#FFA600,#FF980A,#FDBD0E,#FDE338,#FDCF0D,#FB4A10,#FDB40D,#F47CFD
-0.47,0.6175,#FDA607,#FFAC00,#FF9E0F,#FDBE14,#FDE33E,#FDD013,#FA4F16,#FDB513,#F37FFD
